Id,FirstName,LastName,DateBirth,Gender,PhoneNumber,Adress,Email,EnrollmentDate
1,John,Doe,01/01/2000,Male,1234567890,123 Main St,john.doe@example.com,01/09/2018
2,Jane,Smith,02/02/2001,Female,987654321,456 Elm St,jane.smith@example.com,01/09/2019
3,Bob,Johnson,03/03/2002,Male,1122334455,789 Pine St,bob.johnson@example.com,01/09/2020
4,Alice,Brown,04/04/1999,Female,2233445566,101 Maple Ave,alice.brown@example.com,01/09/2017
5,Tom,White,05/05/1998,Male,3344556677,202 Oak St,tom.white@example.com,01/09/2016
6,Lucy,Green,06/06/2003,Female,4455667788,303 Cedar Rd,lucy.green@example.com,01/09/2021
7,Mark,King,07/07/2004,Male,5566778899,404 Birch Blvd,mark.king@example.com,01/09/2022
8,Emma,Lee,08/08/1997,Female,6677889900,505 Walnut St,emma.lee@example.com,01/09/2015
9,Steve,Davis,09/09/2005,Male,7788990011,606 Ash Dr,steve.davis@example.com,01/09/2023
10,Sophia,Wilson,10/10/2006,Female,8899001122,707 Cherry Ln,sophia.wilson@example.com,01/09/2024
